,SEARCHVAL,LATITUDE,LONGITUDE
310,MACPHERSON MRT STATION EXIT A,1.32668882024017,103.889785899423
311,MARSILING MRT STATION EXIT A,1.43280792459597,103.774206739388
312,LABRADOR PARK MRT STATION EXIT A,1.27211237205243,103.8023606392
313,LAKESIDE MRT STATION EXIT A,1.34398741511814,103.720437685172
314,LITTLE INDIA MRT STATION EXIT A,1.30561418181496,103.849351642577
315,TAMPINES EAST MRT STATION EXIT A,1.35646289026058,103.954540107876
316,TAN KAH KEE MRT STATION EXIT A,1.32532796917374,103.807798268409
317,TANAH MERAH MRT STATION EXIT A,1.32686509987036,103.945791448865
318,TELOK BLANGAH MRT STATION EXIT A,1.27073478613149,103.809884576279
319,TIONG BAHRU MRT STATION EXIT A,1.28576458511212,103.826996837921
320,TANAH MERAH MRT STATION EXIT A,1.32686509987036,103.945791448865
321,TELOK BLANGAH MRT STATION EXIT A,1.27073478613149,103.809884576279
322,TIONG BAHRU MRT STATION EXIT A,1.28576458511212,103.826996837921
323,TUAS CRESCENT MRT STATION EXIT A,1.32075614398621,103.64900720771
324,UBI MRT STATION EXIT A,1.32996212833188,103.899869894436
325,PROMENADE MRT STATION EXIT A,1.29170798782006,103.860648429929
326,QUEENSTOWN MRT STATION EXIT A,1.29425031276396,103.806179465908
327,ROCHOR MRT STATION EXIT A,1.30363549560411,103.85265283045
328,NEWTON MRT STATION EXIT A,1.31260401136518,103.837887180414
329,NOVENA MRT STATION EXIT A,1.32110300367281,103.844405791263
330,ONE-NORTH MRT STATION EXIT A,1.29903562703766,103.786896776117
331,SIMEI MRT STATION EXIT A,1.34265578602279,103.953820143851
332,SIXTH AVENUE MRT STATION EXIT A,1.33077316862752,103.796556228194
333,STADIUM MRT STATION EXIT A,1.3025110879373,103.874399988354
334,STEVENS MRT STATION EXIT A,1.32032920290987,103.825684307354
335,PASIR RIS MRT STATION EXIT A,1.37284196938311,103.94933342667
336,PAYA LEBAR MRT STATION EXIT A,1.31825458543132,103.892791663683
337,BARTLEY MRT STATION EXIT A,1.34225958353607,103.88038311704
338,BISHAN MRT STATION EXIT A,1.35057959895607,103.84830499183
339,ADMIRALTY MRT STATION EXIT A,1.44034337155074,103.800984160903
340,TAI SENG MRT STATION EXIT A,1.33591983565073,103.887631743289
341,TAMPINES MRT STATION EXIT A,1.35376401277764,103.944766312114
342,TAMPINES WEST MRT STATION EXIT A,1.34564366435243,103.938180857761
343,TANJONG PAGAR MRT STATION EXIT A,1.27639874607446,103.844820544637
344,TELOK AYER MRT STATION EXIT A,1.28189107870781,103.848512874679
345,SEMBAWANG MRT STATION EXIT A,1.44883562841554,103.820110302142
346,SERANGOON MRT STATION EXIT A,1.34948283498049,103.873953722359
347,WOODLEIGH MRT STATION EXIT A,1.33852245848745,103.870937707986
348,YEE TEE MRT STATION EXIT A,1.39765830259716,103.7471891227
349,YIO CHU KANG MRT STATION EXIT A,1.38165038538878,103.844821034472
350,YISHUN MRT STATION EXIT A,1.42940145045108,103.834790629506
351,BOON LAY MRT STATION EXIT A,1.33828431080454,103.705405450881
352,BOTANIC GARDENS MRT STATION EXIT A,1.32253463275713,103.814976905867
353,BRADDELL MRT STATION EXIT A,1.34107875547937,103.846411762858
354,BRAS BASAH MRT STATION EXIT A,1.29686777903405,103.851321219873
355,BUANGKOK MRT STATION EXIT A,1.38340338685128,103.892867735131
356,BUKIT BATOK MRT STATION EXIT A,1.34956122036242,103.74997014583
357,CASHEW MRT STATION EXIT A,1.36984438594547,103.764207873199
358,HOUGANG MRT STATION EXIT A,1.37017281190245,103.892440505123
359,JALAN BESAR MRT STATION EXIT A,1.30489011626895,103.855292545514
360,JURONG EAST MRT STATION EXIT A,1.33400861029635,103.741735118735
361,KAKI BUKIT MRT STATION EXIT A,1.33532217853623,103.909406099681
362,KALLANG MRT STATION EXIT A,1.31154048337102,103.87173056453
363,COMMONWEALTH MRT STATION EXIT A,1.30264816170999,103.797958291874
364,MARINA SOUTH PIER MRT STATION EXIT A,1.27067523469027,103.862280576826
365,MARYMOUNT MRT STATION EXIT A,1.3489799079699,103.839088041822
366,MATTAR MRT STATION EXIT A,1.32725878626358,103.882737801185
367,GUL CIRCLE MRT STATION EXIT A,1.31927858114204,103.660791651785
368,HAW PAR VILLA MRT STATION EXIT A,1.28306622750313,103.782000217778
369,ESPLANADE MRT STATION EXIT A,1.29337908500484,103.856303258535
370,EUNOS MRT STATION EXIT A,1.31951727513525,103.902894137829
371,EXPO MRT STATION EXIT A,1.33532172425323,103.961942958225
372,HILLVIEW MRT STATION EXIT A,1.36249753291868,103.767689699531
373,KEMBANGAN MRT STATION EXIT A,1.32092967329613,103.912940025483
374,KENT RIDGE MRT STATION EXIT A,1.29431784777384,103.784465461468
375,KHATIB MRT STATION EXIT A,1.41703637252916,103.832952685091
376,KOVAN MRT STATION EXIT A,1.35970263002708,103.884302648859
377,KRANJI MRT STATION EXIT A,1.42473980457064,103.762018327024
378,CHOA CHU KANG MRT STATION EXIT A,1.38542620120991,103.744556001885
379,CITY HALL/ESPLANADE MRT STATION EXIT A,1.29133990707454,103.854609475029
380,CLARKE QUAY MRT STATION EXIT A,1.28689878805873,103.846064544116
381,CLEMENTI MRT STATION EXIT A,1.31540564223263,103.764982679711
382,FARRER PARK MRT STATION EXIT A,1.31232944448484,103.854770359677
383,FORT CANNING MRT STATION EXIT A,1.29241261624443,103.844157466584
384,LAVENDER MRT STATION EXIT A,1.30716946073774,103.863043062595
385,LORONG CHUAN MRT STATION EXIT A,1.35143709131033,103.864928562503
386,TOA PAYOH MRT STATION EXIT A,1.33237644216693,103.847723804246
387,TUAS LINK MRT STATION EXIT A,1.34053169811089,103.637249681748
