car_park_no,address,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,Lat,Lon
S69A,BLK 437 FERNVALE ROAD,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N,1.3133313440578036,103.95510292689332
TAM1,BLK 507 TAMPINES CENTRAL 1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,5,1.7,N,1.382855366230457,103.91845596850506
TAM2,BLK 475 TAMPINES STREET 44,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,2.0,N,1.390104646431555,103.92353731864846
TBCM,BLK 16A TELOK BLANGAH CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.257223167914173,103.84131490107033
TBC2,BLK 23A TELOK BLANGAH CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,3,2.15,N,1.25678568166385,103.83952481236628
TBC3,BLK 3A TELOK BLANGAH CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.2536540426059346,103.84280470060199
TBK,BLK 84 TELOK BLANGAH HEIGHTS,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N,1.246074171358078,103.84113212238171
TBL,BLK 90B TELOK BLANGAH STREET 31,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,9.99,N,1.242767007998633,103.84025782336975
TBM,BLK 48A TELOK BLANGAH DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,1.8,N,1.2466997160156732,103.83559859695737
TBMT,BLK 80 TELOK BLANGAH STREET 31,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,5,2.15,N,1.2429079092567366,103.83759065120807
TBM2,BLK 73A TELOK BLANGAH STREET 32,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N,1.2452449832051318,103.83908900646486
TBM3,BLK 78A TELOK BLANGAH STREET 32,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N,1.2449928695985775,103.8371714400665
TBM4,BLK 88A TELOK BLANGAH HEIGHTS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2437793177659355,103.84106864738749
TBM5,BLK 57A TELOK BLANGAH HEIGHTS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2477896015751657,103.83878510592402
TBM6,BLK 52A TELOK BLANGAH DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2471452723535128,103.837130356251
TBM7,BLK 70 TELOK BLANGAH HEIGHTS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.2468679031279326,103.8400445418208
TBM8,BLK 90 TELOK BLANGAH STREET 31,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,11,2.15,N,1.2432899416047503,103.84097930917693
TBM9,BLK 93 TELOK BLANGAH STREET 31,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,2.15,N,1.2431998908293234,103.83857213340079
TB1,BLK 1/2/3/4/6 TELOK BLANGAH CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.5,N,1.2546563842201466,103.84220798463888
TB10,BLK 38/40 TELOK BLANGAH RISE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,1.259319759157091,103.83620966359095
TB11,BLK 42/43 TELOK BLANGAH RISE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.8,N,1.2596499668262937,103.83442747090236
TB14,BLK 113/114 DEPOT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2433548621618127,103.84556776236157
TB17,BLK 50/71 TELOK BLANGAH DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2490660952887427,103.83860263382049
TB18,BLK 72/74/84 TELOK BLANGAH DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.2458371622302125,103.84028911087127
TB19,BLK 75/76 TELOK BLANGAH DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2447287439364514,103.83845346630504
TB2,BLK 8-10 TELOK BLANGAH CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N,1.255430613900742,103.84137543046293
TB22,BLK 79/80/81 TELOK BLANGAH DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.2435920242629857,103.83770501662995
TB23,DEPOT ROAD LORRY PARK,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.2512794879226088,103.84508780614959
TB27,BLK 4001-4008 DEPOT LANE,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.2477544616719942,103.84566563582388
TB28,BLK 45 TELOK BLANGAH DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N,1.2451329564828162,103.83583085471328
TB29,BLK 45 & 79 ALONG TELOK BLANGAH DRIVE,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.2429913912868815,103.83693427950807
TB3,BLK 12/22 TELOK BLANGAH CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.2555557911299458,103.84061386773784
TB4A,BLK 18 & 19 TELOK BLANGAH CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,4.5,N,1.25854763021151,103.84140393420046
TB6,BLK 27/33 TELOK BLANGAH WAY,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.258256811488104,103.8377441108025
TB7,BLK 29/32 TELOK BLANGAH RISE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.8,N,1.2574998297574855,103.8372480220046
TB8,BLK 30/31 TELOK BLANGAH RISE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.8,N,1.2568513124365794,103.83644579637205
TB9,BLK 32/35 TELOK BLANGAH RISE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,1.2583394941023498,103.83708658068319
TE1,BLK 115-117 JALAN BUKIT MERAH,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.2625874602047074,103.84505953138842
TE13,BLK 78/80 MOH GUAN TERRACE/CHAY YAN STREET,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.2667347033970533,103.84696015207183
TE14,BLK 140/142 JALAN BUKIT MERAH,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.2650036745978368,103.8407543481273
TE2,BLK 105-107 JALAN BUKIT MERAH,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2612044990671794,103.84373669905341
TE21,BLK 76 GUAN CHUAN STREET,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.0,N,1.267751082479819,103.84672554753092
TE22,BLK 66/73 ENG WATT STREET,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.2687559924692404,103.84716283778229
TE23,BLK 59 ENG HOON STREET,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.2697052926068775,103.84798591022033
TE24,KIM PONG ROAD,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.266266285941926,103.84807130185727
TE25,BLK 17/31/141/150 KAMPONG BAHRU ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.2669492701263163,103.84114291098027
TE26,- KERBSIDE TIONG BAHRU ESTATE,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.2670140926081062,103.84900677916045
TE27,"BLK 77, 72, 71 & 58 SENG POH ROAD",SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.2677167528216438,103.84739655885647
TE28,BLK 81 TIONG POH ROAD/KENG KIAT STREET,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.2688184276985994,103.84635861505313
TE29,BLK 79 PENG NGUAN STREET/CHAY YAN STREET,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.0,N,1.2674769811680162,103.84583355650587
TE3,BLK 108/110/112 JALAN BUKIT MERAH,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.2622729711620924,103.84349734878789
TE30,BLK 78 & 79 YONG SIAK STREET/MOH GUAN TERRACE,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.0,N,1.266354221630667,103.84661978479141
TE4,BLK 132-138 JALAN BUKIT MERAH,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.2639860208299516,103.84213444615366
TE9,BLK 61/69 SENG POH LANE,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,2.4,N,1.269148063020353,103.84760611823879
TGML,BLK 64 AND 65 TEBAN GARDENS ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,1.1749110058804493,103.88523479046675
TGM1,BLK 63A TEBAN GARDENS ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.1744807629405556,103.8846615325944
TGM2,BLK 61 TEBAN GARDENS ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,2.1,N,1.1738572139937586,103.8856275800235
TGM3,BLK 22A TEBAN GARDENS ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,3,2.15,N,1.174897836969423,103.88673663541752
TGM4,BLK 57A TEBAN GARDENS ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.1728077732993794,103.88600235891265
TG1,BLK 24 & 25 TEBAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.173193021534868,103.88678799738418
TG2,BLK 49 TO 54 TEBAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.8,N,1.1731601669667922,103.88506057099066
TG3,BLK 30/31/46/48 TEBAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.39,N,1.1745445458905497,103.88412732733116
TG6,"BLK 32, 39/41 TEBAN GARDENS",SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.8,N,1.176673554527767,103.88530971954094
TG7,BLK 33/38/43/45 TEBAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.5,N,1.1778795799497124,103.88364080664088
THM,BLK 37B COMMONWEALTH DRIVE,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2338425185599327,103.86183993532417
TJ1K,ALONG YUNG SHENG ROAD,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.1569789006797915,103.89761533338672
TJ18,BLK 63-66 YUNG KUANG ROAD,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.1580928362674174,103.89523188302431
TJ27,BLK 151/154 YUNG HO ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.1565175732179147,103.89064762036901
TJ28,BLK 364 YUNG AN ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,1.9,N,1.1559066053089941,103.90050559577534
TJ29,BLK 155A YUNG LOH ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.1577617797597,103.8915868047463
TJ30,BLK 163A YUNG PING ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.1576982614527123,103.8935327466485
TJ31,BLK 331A KANG CHING ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N,1.1583335125315208,103.90197079063543
TJ32,BLK 346A KANG CHING ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.0,N,1.1556289740157235,103.90341634125642
TJ33,BLK 328A TAH CHING ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N,1.158715584503354,103.90049525995624
TJ34,BLK 115A HO CHING ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.1600143561233178,103.89742608924313
TJ35,BLK 183A CORPORATION DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.157944728807955,103.89631379958952
TJ36,BLK 121A YUAN CHING ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.1,N,1.1600038169146891,103.89959952147048
TJ37,BLK 337 TAH CHING ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.1579894398910855,103.90166078564977
TJ38,175 YUNG KUANG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.157235843344976,103.89573055351813
TJ39,138 YUAN CHING ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N,1.1587899159075994,103.89135229277527
TJ40,BLK 164 YUNG KUANG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.156952324844256,103.89382173329263
TJ41,BLK 140 CORPORATION DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,14,2.15,N,1.158864096794682,103.89027363290934
TJ42,BLK 150 CORPORATION DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,5,2.15,N,1.1578090750580157,103.89067543860061
TM10,BLK 331A TAMPINES STREET 32,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,10,2.0,N,1.3972510739836264,103.91664263798147
TM11,BLK 384A TAMPINES STREET 32,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,1.9,N,1.3955092369349364,103.9176825183676
TM12,BLK 390A TAMPINES AVENUE 7,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.394191659364616,103.91910332088563
TM13,BLK 374A TAMPINES STREET 34,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.0,N,1.3960889259951772,103.91962677874157
TM14,BLK 891B TAMPINES AVENUE 8,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.3673763935713579,103.91246366283481
TM15,BLK 450B TAMPINES STREET 42,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.3891674565217165,103.92099092298791
TM16,BLK 230A TAMPINES STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,1.9,N,1.3871621959940514,103.91902757687885
TM17,BLK 842A TAMPINES STREET 82,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,1.9,N,1.3748394476943353,103.91451400829871
TM18,BLK 856A TAMPINES STREET 82,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,10,2.0,N,1.3748875255826465,103.9156912408018
TM19,BLK 364A TAMPINES STREET 34,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.3963346122945823,103.92060605941568
TM20,BLK 366A TAMPINES STREET 34,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.398021989976419,103.92140115733682
TM21,BLK 340A TAMPINES STREET 33,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,10,1.9,N,1.397471408672519,103.91471474361738
TM22,BLK 351A TAMPINES STREET 33,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,1.399842182347293,103.91556066832568
TM23,BLK 354A TAMPINES STREET 33,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.3991893567712286,103.91794228636945
TM24,BLK 359A TAMPINES STREET 34,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,10,2.0,N,1.3984458199502654,103.91869384654348
TM25,BLK 497E TAMPINES STREET 45,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.0,N,1.3954792804642802,103.92196930153098
TM26,BLK 497K TAMPINES STREET 45,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.0,N,1.3966165588500357,103.92307422560005
TM27,BLK 497L TAMPINES STREET 45,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.0,N,1.396881437675526,103.92389529102776
TM28,BLK 498K TAMPINES STREET 45,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.0,N,1.3938530256528407,103.92606180188778
TM29,BLK 498C TAMPINES STREET 45,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.0,N,1.3960967279365473,103.92392739418247
TM3,BLK 496A TAMPINES STREET 43,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,1.38749771687541,103.92450033767396
TM30,BLK 701A TAMPINES STREET 71,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.373494734523789,103.92013832574388
TM31,BLK 716A TAMPINES STREET 71,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.3734986511188347,103.92200432380012
TM32,BLK 723A TAMPINES STREET 72,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.3720646501353215,103.9227829367811
TM33,BLK 727A TAMPINES STREET 71,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.3729115743689433,103.91963138515557
TM34,BLK 730A TAMPINES STREET 71,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.3702554294496627,103.92048183724496
TM35,BLK 742A TAMPINES STREET 72,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.3709661485101132,103.92315966626279
TM36,BLK 515 TAMPINES CENTRAL 7,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,4,2.15,N,1.3759322306169361,103.92042582279744
TM37,BLK 518 TAMPINES CENTRAL 7,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,4,2.15,N,1.37546324194155,103.91944595857277
TM4,BLK 494A TAMPINES STREET 43,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,1.8,N,1.389104372952493,103.92632119990374
TM41,BLK 921A TAMPINES STREET 91,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N,1.3782933122039835,103.91085480297507
TM42,BLK 823A TAMPINES STREET 81,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.3703310951845087,103.91225206925404
TM43,BLK 202A TAMPINES STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.3891789064375022,103.91667526480401
TM44,BLK 499 TAMPINES AVENUE 9,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,4,2.15,N,1.3932868917905294,103.92245128151117
TM45,BLK 869C TAMPINES AVENUE 8,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,11,2.15,N,1.3698228946537734,103.91862140658813
TM46,BLK 522 TAMPINES CENTRAL 7,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.3752985286281245,103.92180050524878
TM47,BLK 519 TAMPINES CENTRAL 8,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,16,2.15,N,1.3770163876691528,103.91997824028246
TM48,BLK 890 TAMPINES AVENUE 1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N,1.3709692962525208,103.91040532132982
TM49,BLK 494F TAMPINES STREET 43,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.3899720570191312,103.9272001649705
TM5,BLK 492A TAMPINES STREET 45,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,1.9,N,1.3910344990755217,103.92633439553309
TM50,BLK 870B TAMPINES STREET 86,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.3679273016977136,103.91971512228942
TM51,BLK 879C TAMPINES AVENUE 8,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,12,2.15,N,1.3655488795087483,103.91448325835854
TM52,BLK 492 TAMPINES ST45,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,15,2.15,N,1.3926793524530792,103.92708539779746
TM53,BLK 859B TAMPINES AVENUE 5,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,2.15,N,1.3755456596420452,103.91813070266714
TM54,BLK 875A TAMPINES STREET 86,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,5,2.15,N,1.366722795741574,103.91681466727627
TM55,BLK 873A TAMPINES STREET 85,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,10,2.15,N,1.3675109372549892,103.91815585564562
TM6,BLK 307A TAMPINES STREET 32,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,1.9,N,1.3933201539569846,103.91653714319538
TM7,BLK 311A TAMPINES STREET 33,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,8,1.85,N,1.3946042068235895,103.91610121224588
TM8,BLK 316A TAMPINES STREET 33,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.3941807256173682,103.91480126784442
TM9,BLK 330A TAMPINES STREET 32,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,10,2.0,N,1.3960815419433583,103.91663435413017
TPB1,BLK 18A LORONG 6 TOA PAYOH,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.2929250296528205,103.89945842026536
TPL,BLK 5/7 TANJONG PAGAR,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.4,N,1.2792482111552013,103.84068186604628
TPM,BLK 1/6 TANJONG PAGAR MSCP,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,1.8,N,1.2785336127938172,103.83926487669504
