car_park_no,address,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,Lat,Lon
BJ11,BLK 242-245 BUKIT PANJANG RING ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.2076597090451655,103.94386655879474
BJ12,BLK 246-255 BANGKIT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.2102851709899025,103.94335947700135
BJ13,BLK 270-277 BANGKIT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.210577303670682,103.94013086516694
BJ14,BLK 257 BANGKIT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.2093194818129447,103.94210133021595
BJ15,BLK 259A BANGKIT ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,1,3.0,N,1.2095739568349615,103.94061853406437
BJ16,BLK 259A BANGKIT ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,1.2094113390805503,103.94063048867727
BJ17,BLK 401A FAJAR ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,1.9,N,1.2047065807510466,103.94434991397009
BJ18,BLK 401-408 FAJAR ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,1.203867007964312,103.94407145403065
BJ19,BLK 409-419 FAJAR ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2041410921443239,103.94711541787957
BJ2,BLK 141-151 GANGSA ROAD/PETIR ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2024075340647113,103.93926778986884
BJ20,BLK 420-426 FAJAR ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.205547846701882,103.9491265272098
